Files already downloaded
3000
750
Shapes: (3000, 28, 28) (3000,) (10000, 28, 28) (10000,)
Epoch 529, cost = 1.516573, acc = 92.44%
Epoch 530, cost = 1.517167, acc = 92.48%
Epoch 531, cost = 1.513736, acc = 92.64%
Epoch 532, cost = 1.514931, acc = 92.51%
Epoch 533, cost = 1.515120, acc = 92.66%
Epoch 534, cost = 1.514858, acc = 92.80%
Epoch 535, cost = 1.520253, acc = 92.50%
Epoch 536, cost = 1.512436, acc = 92.49%
Epoch 537, cost = 1.511541, acc = 92.68%
Epoch 538, cost = 1.516721, acc = 92.55%
Epoch 539, cost = 1.518311, acc = 92.05%
Epoch 540, cost = 1.514382, acc = 92.69%
Epoch 541, cost = 1.511582, acc = 92.61%
Epoch 542, cost = 1.516840, acc = 92.43%
Epoch 543, cost = 1.511632, acc = 92.83%
Epoch 544, cost = 1.515672, acc = 92.75%
Epoch 545, cost = 1.511940, acc = 92.37%
Epoch 546, cost = 1.514783, acc = 92.85%
Epoch 547, cost = 1.513431, acc = 92.54%
Epoch 548, cost = 1.510311, acc = 92.67%
